"accountId","transaction_hash"
"nf-payments2.near","9fbj8ENmJHvcgSXUTqJB92trrmcvKCbdRmr6FJBxbMwH"
"nf-payments2.near","PsLE7WgH8MoNhGFsKbX9cMwLbFuVNs9YrfE3aoMMJk8"
"nf-payments2.near","3EVHz91zkBJDPbLtfZduywgB6kxqTqtJ5Fh8Dhe9TjK1"
"nf-payments2.near","4D5ACfTZMPnehnueAVCcnGon4Wezkg5pjBfdn5suww1G"
"nf-payments2.near","DPfvoVhFGyYFHUEmsUUNmXwkFFMXQafvbrn5CcAQ9bJv"
"nf-payments2.near","5uNgQ2TnwDiHgudrinEztUzBMu9V5JLx4kSv967yTWhD"
"nf-payments2.near","B7UUnCZfcqx8FkCvZiWtJemV4QddPpUYnZf5WY1zT1Hz"
"nf-payments2.near","3P444Lrb4na3AGZHEvW1oiZyQ96EkV52NxiaJ4QXw4k1"
"nf-payments2.near","GU4vf4ZccTh6Q18GEshU5HAfP9Li8nKRRkm3EwExckdY"
"nf-payments2.near","BXobiwGMUeYCURKAtKjpcvywtL6CKKdKpRAkQyfsfJN4"
"nf-payments2.near","FHZWHA4S8yA9T83DTL93rVMrtmq8v7t3fNEMydtoqupV"
"nf-payments2.near","3ywLrQKCvjQ7UycdsduvFnxqH7BMRihKPn4Sd3TPcKby"
"nf-payments2.near","DnagR5Vs8SnzT3Ur7ANYdrLNq35C8RjjH73H6feTfK2N"
"nf-payments2.near","6R4u4ywmMa6igx8hX5Gc7wxtfF5whP9HDmhJoiJNPcyJ"
"nf-payments2.near","7UWyrSd2Ru6qYATp888rRKV3KycUwovLSnswSsK8hLvk"
"nf-payments2.near","Hmq78ikuGBMN6CDggA2D3Scv18oPsk6HZkBmkBVefa8w"
"nf-payments2.near","D2XYDM6uQBxC3jwBLVKQungxrTj3KoBRG4ejdmzz1tSS"
"nf-payments2.near","4YVrwsLECJbNzQJLALXePT7qEaGnqR9Ayzhs7RVw1Zbv"
"nf-payments2.near","BGWcCprBR8x77EigsjYRUh9KfBYiG8fFyuqS2bxuT3yA"
"nf-payments2.near","FJnVqJLZtmEBRAkeuLh94tsrJELs3rYYgjtiu6LmhMWU"
"nf-payments2.near","HbKzmVvnDaGJwCQzAfBunEY6dNCBd4KrCVYCJrtgd6w5"
"nf-payments2.near","Bs3hjTz7oUvMnZKGMpaA3B4AFt3T49C9eUtLZ7r7Bp99"
